NUMBER,NAME,MISSION,STAGE 1,STAGE 2,STAGE 3, STAGE 4,STAGE 5,STAGE 6,BOSS,DONE
38,Enveloped in Solitude,DDHNH(H),Westopolis,Digital Circuit,Cryptic Castle,Sky Troops,Iron Jungle,Cosmic Fall,Black Doom,FALSE
39,Parricidal Savior,DDHHD(D),Westopolis,Digital Circuit,Cryptic Castle,Sky Troops,Space Gadget,Lava Shelter,Egg Dealer,FALSE
40,Copy of a Savior,DDHHD(H),Westopolis,Digital Circuit,Cryptic Castle,Sky Troops,Space Gadget,Lava Shelter,Egg Dealer,FALSE
41,Excess of Intellect,DDHHN(D),Westopolis,Digital Circuit,Cryptic Castle,Sky Troops,Space Gadget,Cosmic Fall,Egg Dealer,FALSE
42,Crystallization of Intellect,DDHHN(H),Westopolis,Digital Circuit,Cryptic Castle,Sky Troops,Space Gadget,Cosmic Fall,Black Doom,FALSE
43,The Ultimate Confrontation,DDHHH(D),Westopolis,Digital Circuit,Cryptic Castle,Sky Troops,Space Gadget,Final Haunt,Sonic and Diablon,FALSE
44,Miracle of Love,DDHHH(H),Westopolis,Digital Circuit,Cryptic Castle,Sky Troops,Space Gadget,Final Haunt,Black Doom,FALSE
45,The World�s Demise,DHDDD(D),Westopolis,Digital Circuit,Prison Island,The Doom,The ARK,G.U.N. Fortress,Sonic and Diablon,FALSE
46,The Ultimate Power,DHDDD(H),Westopolis,Digital Circuit,Prison Island,The Doom,The ARK,G.U.N. Fortress,Black Doom,FALSE
47,Dyed in Lovely Darkness...,DHDDN(D),Westopolis,Digital Circuit,Prison Island,The Doom,The ARK,Black Comet,Sonic and Diablon,TRUE
48,Vainglory or Abandonment?,DHDDN(H),Westopolis,Digital Circuit,Prison Island,The Doom,The ARK,Black Comet,Egg Dealer,FALSE
49,Messenger of Ruination,DHDND(D),Westopolis,Digital Circuit,Prison Island,The Doom,Air Fleet,G.U.N. Fortress,Sonic and Diablon,FALSE
50,Standing at the Summit,DHDND(H),Westopolis,Digital Circuit,Prison Island,The Doom,Air Fleet,G.U.N. Fortress,Black Doom,FALSE
51,Controller from the Capsule,DHDNN(D),Westopolis,Digital Circuit,Prison Island,The Doom,Air Fleet,Black Comet,Sonic and Diablon,FALSE
52,Beyond One�s Own Power...,DHDNN(H),Westopolis,Digital Circuit,Prison Island,The Doom,Air Fleet,Black Comet,Egg Dealer,FALSE
53,A Clone�s Determination,DHDNH(D),Westopolis,Digital Circuit,Prison Island,The Doom,Air Fleet,Lava Shelter,Egg Dealer,TRUE
54,Machine Utopia,DHDNH(H),Westopolis,Digital Circuit,Prison Island,The Doom,Air Fleet,Lava Shelter,Egg Dealer,TRUE
55,A Toast to the Ruler,DHDHD(D),Westopolis,Digital Circuit,Prison Island,The Doom,Iron Jungle,Black Comet,Sonic and Diablon,FALSE
56,Answer from the Black Comet,DHDHD(H),Westopolis,Digital Circuit,Prison Island,The Doom,Iron Jungle,Black Comet,Egg Dealer,FALSE
57,Transcendentalism,DHDHN(D),Westopolis,Digital Circuit,Prison Island,The Doom,Iron Jungle,Lava Shelter,Egg Dealer,FALSE
58,Imperialism,DHDHN(H),Westopolis,Digital Circuit,Prison Island,The Doom,Iron Jungle,Lava Shelter,Egg Dealer,FALSE
59,The Weight of One�s Crimes,DHDHH(D),Westopolis,Digital Circuit,Prison Island,The Doom,Iron Jungle,Cosmic Fall,Egg Dealer,FALSE
60,Imprisoned by the Past...,DHDHH(H),Westopolis,Digital Circuit,Prison Island,The Doom,Iron Jungle,Cosmic Fall,Black Doom,FALSE
61,The Ultimate World Conquest,DHNDD(D),Westopolis,Digital Circuit,Prison Island,Sky Troops,Air Fleet,G.U.N. Fortress,Sonic and Diablon,FALSE
62,Black Angel,DHNDD(H),Westopolis,Digital Circuit,Prison Island,Sky Troops,Air Fleet,G.U.N. Fortress,Black Doom,FALSE
63,Under Darkness� Control,DHNDN(D),Westopolis,Digital Circuit,Prison Island,Sky Troops,Air Fleet,Black Comet,Sonic and Diablon,FALSE
64,To Love Oneself,DHNDN(H),Westopolis,Digital Circuit,Prison Island,Sky Troops,Air Fleet,Black Comet,Egg Dealer,FALSE
65,Revenge and Determination,DHNDH(D),Westopolis,Digital Circuit,Prison Island,Sky Troops,Air Fleet,Lava Shelter,Egg Dealer,FALSE
66,Birth of the Robot Emperor,DHNDH(H),Westopolis,Digital Circuit,Prison Island,Sky Troops,Air Fleet,Lava Shelter,Egg Dealer,FALSE
67,"Shadow, the Black Android",DHNND(D),Westopolis,Digital Circuit,Prison Island,Sky Troops,Iron Jungle,Black Comet,Sonic and Diablon,FALSE
68,A Solitary Android,DHNND(H),Westopolis,Digital Circuit,Prison Island,Sky Troops,Iron Jungle,Black Comet,Egg Dealer,FALSE
69,Over the Original,DHNNN(D),Westopolis,Digital Circuit,Prison Island,Sky Troops,Iron Jungle,Lava Shelter,Egg Dealer,FALSE
70,Machine Sunshine,DHNNN(H),Westopolis,Digital Circuit,Prison Island,Sky Troops,Iron Jungle,Lava Shelter,Egg Dealer,FALSE
71,Life is Guilty,DHNNH(D),Westopolis,Digital Circuit,Prison Island,Sky Troops,Iron Jungle,Cosmic Fall,Egg Dealer,FALSE
72,Fallen Angel of Despair,DHNNH(H),Westopolis,Digital Circuit,Prison Island,Sky Troops,Iron Jungle,Cosmic Fall,Black Doom,FALSE
73,An Eternal Rival...,DHNHD(D),Westopolis,Digital Circuit,Prison Island,Sky Troops,Space Gadget,Lava Shelter,Egg Dealer,FALSE
74,This is Just the Beginning,DHNHD(H),Westopolis,Digital Circuit,Prison Island,Sky Troops,Space Gadget,Lava Shelter,Egg Dealer,FALSE
75,Crystal of Tragic Knowledge,DHNHN(D),Westopolis,Digital Circuit,Prison Island,Sky Troops,Space Gadget,Cosmic Fall,Egg Dealer,FALSE
76,Shadow�s Second Death...?,DHNHN(H),Westopolis,Digital Circuit,Prison Island,Sky Troops,Space Gadget,Cosmic Fall,Black Doom,TRUE
77,The Legend of Shadow,DHNHH(D),Westopolis,Digital Circuit,Prison Island,Sky Troops,Space Gadget,Final Haunt,Sonic and Diablon,FALSE
78,Power of Love,DHNHH(H),Westopolis,Digital Circuit,Prison Island,Sky Troops,Space Gadget,Final Haunt,Black Doom,FALSE
79,Deep Black,DHHDD(D),Westopolis,Digital Circuit,Prison Island,Mad Matrix,Iron Jungle,Black Comet,Sonic and Diablon,FALSE
80,Walk My Way,DHHDD(H),Westopolis,Digital Circuit,Prison Island,Mad Matrix,Iron Jungle,Black Comet,Egg Dealer,FALSE
81,This is Shadow�s Way of Life,DHHDN(D),Westopolis,Digital Circuit,Prison Island,Mad Matrix,Iron Jungle,Lava Shelter,Egg Dealer,FALSE
82,A Monarch�s Style,DHHDN(H),Westopolis,Digital Circuit,Prison Island,Mad Matrix,Iron Jungle,Lava Shelter,Egg Dealer,FALSE
83,In the Gap of Sadness,DHHDH(D),Westopolis,Digital Circuit,Prison Island,Mad Matrix,Iron Jungle,Cosmic Fall,Egg Dealer,FALSE
84,To Be Ignorant of the Past,DHHDH(H),Westopolis,Digital Circuit,Prison Island,Mad Matrix,Iron Jungle,Cosmic Fall,Black Doom,FALSE
85,At Vengeance�s End,DHHND(D),Westopolis,Digital Circuit,Prison Island,Mad Matrix,Space Gadget,Lava Shelter,Egg Dealer,FALSE
86,Machine Boys,DHHND(H),Westopolis,Digital Circuit,Prison Island,Mad Matrix,Space Gadget,Lava Shelter,Egg Dealer,FALSE
87,Reborn Along with Sorrow,DHHNN(D),Westopolis,Digital Circuit,Prison Island,Mad Matrix,Space Gadget,Cosmic Fall,Egg Dealer,FALSE
88,With a Fate of Self-Denial,DHHNN(H),Westopolis,Digital Circuit,Prison Island,Mad Matrix,Space Gadget,Cosmic Fall,Black Doom,FALSE
89,I Am Shadow,DHHNH(D),Westopolis,Digital Circuit,Prison Island,Mad Matrix,Space Gadget,Final Haunt,Sonic and Diablon,FALSE
90,Shining Within Memory...,DHHNH(H),Westopolis,Digital Circuit,Prison Island,Mad Matrix,Space Gadget,Final Haunt,Black Doom,FALSE
91,The Rise and Fall of The ARK,DHHHN(D),Westopolis,Digital Circuit,Prison Island,Mad Matrix,Lost Impact,Cosmic Fall,Egg Dealer,FALSE
92,Requiem for a Fallen Angel,DHHHN(H),Westopolis,Digital Circuit,Prison Island,Mad Matrix,Lost Impact,Cosmic Fall,Black Doom,FALSE
93,Ultimate Shadow,DHHHH(D),Westopolis,Digital Circuit,Prison Island,Mad Matrix,Lost Impact,Final Haunt,Sonic and Diablon,FALSE
94,For Love�s Sake,DHHHH(H),Westopolis,Digital Circuit,Prison Island,Mad Matrix,Lost Impact,Final Haunt,Black Doom,FALSE
95,A Heart Awoken from Darkness,NDDDD(D),Westopolis,Glyphic Canyon,Cryptic Castle,Central City,The ARK,G.U.N. Fortress,Sonic and Diablon,FALSE
96,Destruction From Perfection,NDDDD(H),Westopolis,Glyphic Canyon,Cryptic Castle,Central City,The ARK,G.U.N. Fortress,Black Doom,FALSE
97,Darkness� Strongest Soldier,NDDDN(D),Westopolis,Glyphic Canyon,Cryptic Castle,Central City,The ARK,Black Comet,Sonic and Diablon,FALSE
98,Severed Chains,NDDDN(H),Westopolis,Glyphic Canyon,Cryptic Castle,Central City,The ARK,Black Comet,Egg Dealer,FALSE
99,Retribution Against Humanity,NDDHD(D),Westopolis,Glyphic Canyon,Cryptic Castle,Central City,Air Fleet,G.U.N. Fortress,Sonic and Diablon,FALSE
100,To Be Known as �Ultimate�,NDDHD(H),Westopolis,Glyphic Canyon,Cryptic Castle,Central City,Air Fleet,G.U.N. Fortress,Black Doom,FALSE
101,Dark Warrior�s Advent,NDDHN(D),Westopolis,Glyphic Canyon,Cryptic Castle,Central City,Air Fleet,Black Comet,Sonic and Diablon,FALSE
102,Arriving at the Ego,NDDHN(H),Westopolis,Glyphic Canyon,Cryptic Castle,Central City,Air Fleet,Black Comet,Egg Dealer,FALSE
103,Determination of a Fake,NDDHH(D),Westopolis,Glyphic Canyon,Cryptic Castle,Central City,Air Fleet,Lava Shelter,Egg Dealer,FALSE
104,Path to the Machine Empire,NDDHH(H),Westopolis,Glyphic Canyon,Cryptic Castle,Central City,Air Fleet,Lava Shelter,Egg Dealer,FALSE
105,Demise Wrought by Tragedy,NDNDD(D),Westopolis,Glyphic Canyon,Cryptic Castle,The Doom,The ARK,G.U.N. Fortress,Sonic and Diablon,FALSE
106,Turning Sorrow Into Strength,NDNDD(H),Westopolis,Glyphic Canyon,Cryptic Castle,The Doom,The ARK,G.U.N. Fortress,Black Doom,FALSE
107,The Liberated Soldier,NDNDN(D),Westopolis,Glyphic Canyon,Cryptic Castle,The Doom,The ARK,Black Comet,Sonic and Diablon,FALSE
108,Stupefaction�s End,NDNDN(H),Westopolis,Glyphic Canyon,Cryptic Castle,The Doom,The ARK,Black Comet,Egg Dealer,FALSE
109,Humanity�s Folly,NDNND(D),Westopolis,Glyphic Canyon,Cryptic Castle,The Doom,Air Fleet,G.U.N. Fortress,Sonic and Diablon,FALSE
110,Surpassing All Else,NDNND(H),Westopolis,Glyphic Canyon,Cryptic Castle,The Doom,Air Fleet,G.U.N. Fortress,Black Doom,FALSE
111,Soldier of Grief,NDNNN(D),Westopolis,Glyphic Canyon,Cryptic Castle,The Doom,Air Fleet,Black Comet,Sonic and Diablon,FALSE
112,Reclaimed Heart,NDNNN(H),Westopolis,Glyphic Canyon,Cryptic Castle,The Doom,Air Fleet,Black Comet,Egg Dealer,TRUE
113,Fighting Spirit of Steel,NDNNH(D),Westopolis,Glyphic Canyon,Cryptic Castle,The Doom,Air Fleet,Lava Shelter,Egg Dealer,TRUE
114,Machine Soldier Uprising,NDNNH(H),Westopolis,Glyphic Canyon,Cryptic Castle,The Doom,Air Fleet,Lava Shelter,Egg Dealer,FALSE
115,The Devil Born From Betrayal,NDNHD(D),Westopolis,Glyphic Canyon,Cryptic Castle,The Doom,Iron Jungle,Black Comet,Sonic and Diablon,FALSE
116,Beyond the Truth of Impact,NDNHD(H),Westopolis,Glyphic Canyon,Cryptic Castle,The Doom,Iron Jungle,Black Comet,Egg Dealer,FALSE
117,The Immortal Android,NDNHN(D),Westopolis,Glyphic Canyon,Cryptic Castle,The Doom,Iron Jungle,Lava Shelter,Egg Dealer,FALSE
118,"The New, Coldhearted Empire",NDNHN(H),Westopolis,Glyphic Canyon,Cryptic Castle,The Doom,Iron Jungle,Lava Shelter,Egg Dealer,FALSE
119,A Singular Atonement,NDNHH(D),Westopolis,Glyphic Canyon,Cryptic Castle,The Doom,Iron Jungle,Cosmic Fall,Egg Dealer,FALSE
120,Spawn of the Devil,NDNHH(H),Westopolis,Glyphic Canyon,Cryptic Castle,The Doom,Iron Jungle,Cosmic Fall,Black Doom,FALSE
121,Black Doom�s Scheme,NDHDD(D),Westopolis,Glyphic Canyon,Cryptic Castle,Sky Troops,Air Fleet,G.U.N. Fortress,Sonic and Diablon,FALSE
122,Subjugating Heaven and Earth,NDHDD(H),Westopolis,Glyphic Canyon,Cryptic Castle,Sky Troops,Air Fleet,G.U.N. Fortress,Black Doom,TRUE
123,Road of the Dark Soldier,NDHDN(D),Westopolis,Glyphic Canyon,Cryptic Castle,Sky Troops,Air Fleet,Black Comet,Sonic and Diablon,FALSE
124,Dark Finale,NDHDN(H),Westopolis,Glyphic Canyon,Cryptic Castle,Sky Troops,Air Fleet,Black Comet,Egg Dealer,FALSE
125,Realization While On Board,NDHDH(D),Westopolis,Glyphic Canyon,Cryptic Castle,Sky Troops,Air Fleet,Lava Shelter,Egg Dealer,FALSE
126,Birth of a Champion,NDHDH(H),Westopolis,Glyphic Canyon,Cryptic Castle,Sky Troops,Air Fleet,Lava Shelter,Egg Dealer,FALSE
127,With the Black Arms,NDHND(D),Westopolis,Glyphic Canyon,Cryptic Castle,Sky Troops,Iron Jungle,Black Comet,Sonic and Diablon,FALSE
128,The Road to Self-Assurance,NDHND(H),Westopolis,Glyphic Canyon,Cryptic Castle,Sky Troops,Iron Jungle,Black Comet,Egg Dealer,FALSE
129,The Pursuit of Dr. Eggman,NDHNN(D),Westopolis,Glyphic Canyon,Cryptic Castle,Sky Troops,Iron Jungle,Lava Shelter,Egg Dealer,FALSE
130,Surpassing His Creator,NDHNN(H),Westopolis,Glyphic Canyon,Cryptic Castle,Sky Troops,Iron Jungle,Lava Shelter,Egg Dealer,FALSE
131,"ARK, Colony of Pathos",NDHNH(D),Westopolis,Glyphic Canyon,Cryptic Castle,Sky Troops,Iron Jungle,Cosmic Fall,Egg Dealer,FALSE
132,Perfection Lost to Darkness,NDHNH(H),Westopolis,Glyphic Canyon,Cryptic Castle,Sky Troops,Iron Jungle,Cosmic Fall,Black Doom,FALSE
133,A New Challenge,NDHHD(D),Westopolis,Glyphic Canyon,Cryptic Castle,Sky Troops,Space Gadget,Lava Shelter,Egg Dealer,FALSE
134,The Machines� Coup d�Etat,NDHHD(H),Westopolis,Glyphic Canyon,Cryptic Castle,Sky Troops,Space Gadget,Lava Shelter,Egg Dealer,FALSE
135,A Vow for the Victims,NDHHN(D),Westopolis,Glyphic Canyon,Cryptic Castle,Sky Troops,Space Gadget,Cosmic Fall,Egg Dealer,TRUE
136,The Truth of Sadness,NDHHN(H),Westopolis,Glyphic Canyon,Cryptic Castle,Sky Troops,Space Gadget,Cosmic Fall,Black Doom,FALSE
137,The Destined Sonic Showdown,NDHHH(D),Westopolis,Glyphic Canyon,Cryptic Castle,Sky Troops,Space Gadget,Final Haunt,Sonic and Diablon,FALSE
138,The Black Hero�s Rebirth,NDHHH(H),Westopolis,Glyphic Canyon,Cryptic Castle,Sky Troops,Space Gadget,Final Haunt,Black Doom,FALSE
139,"Truth, Thy Name is Vengeance",NNDDD(D),Westopolis,Glyphic Canyon,Prison Island,The Doom,The ARK,G.U.N. Fortress,Sonic and Diablon,FALSE
140,Searching for 'Ultimate',NNDDD(H),Westopolis,Glyphic Canyon,Prison Island,The Doom,The ARK,G.U.N. Fortress,Black Doom,FALSE
141,Reborn Hatred for Humanity,NNDDN(D),Westopolis,Glyphic Canyon,Prison Island,The Doom,The ARK,Black Comet,Sonic and Diablon,FALSE
142,A Future Taken from the Past,NNDDN(H),Westopolis,Glyphic Canyon,Prison Island,The Doom,The ARK,Black Comet,Egg Dealer,FALSE
143,The Devils' Victory Song,NNDND(D),Westopolis,Glyphic Canyon,Prison Island,The Doom,Air Fleet,G.U.N. Fortress,Sonic and Diablon,FALSE
144,One to Succeed a God,NNDND(H),Westopolis,Glyphic Canyon,Prison Island,The Doom,Air Fleet,G.U.N. Fortress,Black Doom,FALSE
145,Disappointed in Humanity,NNDNN(D),Westopolis,Glyphic Canyon,Prison Island,The Doom,Air Fleet,Black Comet,Sonic and Diablon,FALSE
146,Faith Taken from Solitude,NNDNN(H),Westopolis,Glyphic Canyon,Prison Island,The Doom,Air Fleet,Black Comet,Egg Dealer,FALSE
147,Planted Memories,NNDNH(D),Westopolis,Glyphic Canyon,Prison Island,The Doom,Air Fleet,Lava Shelter,Egg Dealer,FALSE
148,To Unite Humanity,NNDNH(H),Westopolis,Glyphic Canyon,Prison Island,The Doom,Air Fleet,Lava Shelter,Egg Dealer,FALSE
149,Isolated Soldier Shadow,NNDHD(D),Westopolis,Glyphic Canyon,Prison Island,The Doom,Iron Jungle,Black Comet,Sonic and Diablon,FALSE
150,Answer Derived from Truth,NNDHD(H),Westopolis,Glyphic Canyon,Prison Island,The Doom,Iron Jungle,Black Comet,Egg Dealer,FALSE
151,A Fake�s Disposition,NNDHN(D),Westopolis,Glyphic Canyon,Prison Island,The Doom,Iron Jungle,Lava Shelter,Egg Dealer,FALSE
152,A New World Without Betrayal,NNDHN(H),Westopolis,Glyphic Canyon,Prison Island,The Doom,Iron Jungle,Lava Shelter,Egg Dealer,FALSE
153,Together With Maria...,NNDHH(D),Westopolis,Glyphic Canyon,Prison Island,The Doom,Iron Jungle,Cosmic Fall,Egg Dealer,FALSE
154,The Tragedy�s Conclusion,NNDHH(H),Westopolis,Glyphic Canyon,Prison Island,The Doom,Iron Jungle,Cosmic Fall,Black Doom,FALSE
155,The Day That Hope Died,NNNDD(D),Westopolis,Glyphic Canyon,Prison Island,Sky Troops,Air Fleet,G.U.N. Fortress,Sonic and Diablon,FALSE
156,Dark Destroyer,NNNDD(H),Westopolis,Glyphic Canyon,Prison Island,Sky Troops,Air Fleet,G.U.N. Fortress,Black Doom,TRUE
157,Diabolical Power,NNNDN(D),Westopolis,Glyphic Canyon,Prison Island,Sky Troops,Air Fleet,Black Comet,Sonic and Diablon,FALSE
158,For Freedom,NNNDN(H),Westopolis,Glyphic Canyon,Prison Island,Sky Troops,Air Fleet,Black Comet,Egg Dealer,FALSE
159,"At Least, Be Like Shadow...",NNNDH(D),Westopolis,Glyphic Canyon,Prison Island,Sky Troops,Air Fleet,Lava Shelter,Egg Dealer,FALSE
160,Seeking a Silent Paradise,NNNDH(H),Westopolis,Glyphic Canyon,Prison Island,Sky Troops,Air Fleet,Lava Shelter,Egg Dealer,TRUE
161,The Lion�s Awakening,NNNND(D),Westopolis,Glyphic Canyon,Prison Island,Sky Troops,Iron Jungle,Black Comet,Sonic and Diablon,FALSE
162,Identity,NNNND(H),Westopolis,Glyphic Canyon,Prison Island,Sky Troops,Iron Jungle,Black Comet,Egg Dealer,FALSE
163,An Android�s Rebellion,NNNNN(D),Westopolis,Glyphic Canyon,Prison Island,Sky Troops,Iron Jungle,Lava Shelter,Egg Dealer,FALSE
164,A New Empire�s Beginning,NNNNN(H),Westopolis,Glyphic Canyon,Prison Island,Sky Troops,Iron Jungle,Lava Shelter,Egg Dealer,TRUE
165,Bullets from Tears,NNNNH(D),Westopolis,Glyphic Canyon,Prison Island,Sky Troops,Iron Jungle,Cosmic Fall,Egg Dealer,FALSE
166,Journey to Nihility,NNNNH(H),Westopolis,Glyphic Canyon,Prison Island,Sky Troops,Iron Jungle,Cosmic Fall,Black Doom,FALSE
167,Shadow Surpassing Shadow,NNNHD(D),Westopolis,Glyphic Canyon,Prison Island,Sky Troops,Space Gadget,Lava Shelter,Egg Dealer,TRUE
168,Dr. Eggman�s Miscalculation,NNNHD(H),Westopolis,Glyphic Canyon,Prison Island,Sky Troops,Space Gadget,Lava Shelter,Egg Dealer,FALSE
169,Along With the ARK,NNNHN(D),Westopolis,Glyphic Canyon,Prison Island,Sky Troops,Space Gadget,Cosmic Fall,Egg Dealer,FALSE
170,Requiem for the Heavens,NNNHN(H),Westopolis,Glyphic Canyon,Prison Island,Sky Troops,Space Gadget,Cosmic Fall,Black Doom,FALSE
171,Sonic Dethroned!,NNNHH(D),Westopolis,Glyphic Canyon,Prison Island,Sky Troops,Space Gadget,Final Haunt,Sonic and Diablon,FALSE
172,Justice Reborn in Space,NNNHH(H),Westopolis,Glyphic Canyon,Prison Island,Sky Troops,Space Gadget,Final Haunt,Black Doom,FALSE
173,Steel Ruler,NNHDD(D),Westopolis,Glyphic Canyon,Prison Island,Mad Matrix,Iron Jungle,Black Comet,Sonic and Diablon,FALSE
174,For the Sake of the Self,NNHDD(H),Westopolis,Glyphic Canyon,Prison Island,Mad Matrix,Iron Jungle,Black Comet,Egg Dealer,FALSE
175,Farewell to the Past,NNHDN(D),Westopolis,Glyphic Canyon,Prison Island,Mad Matrix,Iron Jungle,Lava Shelter,Egg Dealer,FALSE
176,Steel Paradise,NNHDN(H),Westopolis,Glyphic Canyon,Prison Island,Mad Matrix,Iron Jungle,Lava Shelter,Egg Dealer,FALSE
177,The Guardian With No Past,NNHDH(D),Westopolis,Glyphic Canyon,Prison Island,Mad Matrix,Iron Jungle,Cosmic Fall,Egg Dealer,FALSE
178,The Ultimate Atonement,NNHDH(H),Westopolis,Glyphic Canyon,Prison Island,Mad Matrix,Iron Jungle,Cosmic Fall,Black Doom,FALSE
179,A Fake�s Aspiration,NNHND(D),Westopolis,Glyphic Canyon,Prison Island,Mad Matrix,Space Gadget,Lava Shelter,Egg Dealer,FALSE
